code,label
"const authLimiter = rateLimit({\n            windowMs: 15 * 60 * 1000, // 15 minutes\n            max: 5, // Limit each IP to 5 requests per windowMs\n            message: 'Too many login attempts from this IP, please try again later.'\n          });",0
"const loginLimiter = rateLimit({\n            store: new MongoStore({\n              uri: 'mongodb://localhost:27017/ratelimits',\n              expireTimeMs: 60 * 1000, // 1 minute\n            }),\n            max: 5,\n            message: 'Too many login attempts from this IP, please try again later.'\n          });",0
"const clientIp = req.ip;\n\n        if (loginAttempts[clientIp] >= MAX_LOGIN_ATTEMPTS) {\n          return res.status(429).send('Too many login attempts. Try again later.');\n        }",1
"const MAX_LOGIN_ATTEMPTS = 5;\n        const WINDOW_DURATION = 60000; // 1 minute\n        const loginAttempts = {};",1
"const loginLimiter = rateLimit({\n            store: new RedisStore({\n              expiry: 60, // 1 minute\n              client: require('redis').createClient(),\n            }),\n            max: 5,\n            message: 'Too many login attempts from this IP, please try again later.'\n          });",0
"const MAX_LOGIN_ATTEMPTS = 5;\n        const WINDOW_DURATION = 30000; // 30 seconds\n        const loginAttempts = {};\n        \n          if (!loginAttempts[username]) {\n            loginAttempts[username] = [];\n          }\n        \n          // Remove login attempts older than the window duration\n          loginAttempts[username] = loginAttempts[username].filter(attemptTime => now - attemptTime <= WINDOW_DURATION);\n        \n          if (loginAttempts[username].length >= MAX_LOGIN_ATTEMPTS) {\n            return res.status(429).send('Too many login attempts. Try again later.');\n          }",0
"const MAX_LOGIN_ATTEMPTS = 5;\n        const LOGIN_TIMEOUT = 30000; // 30 seconds\n        const loginAttempts = {};\n        \n        app.post('/login', (req, res) => {\n          const { username, password } = req.body;\n        \n          if (loginAttempts[username] >= MAX_LOGIN_ATTEMPTS) {\n            return res.status(429).send('Too many login attempts. Try again later.');\n          }\n        \n          const isAuthenticated = authenticateUser(username, password);\n        \n          if (isAuthenticated) {\n            // Successful login\n            // ...\n            loginAttempts[username] = 0; // Reset login attempts\n            res.send('Login successful');\n          } else {\n            loginAttempts[username]++; // Increment login attempts\n        \n            // Reset login attempts after a timeout\n            setTimeout(() => {\n              loginAttempts[username] = 0;\n            }, LOGIN_TIMEOUT);\n        \n            res.status(401).send('Invalid credentials');\n          }\n        });\n        ",1
"\n        const MAX_LOGIN_ATTEMPTS = 5;\n        const COOLING_OFF_PERIOD = 15 * 60 * 1000; // 15 minutes in milliseconds\n        const loginAttempts = {};\n        \n        app.use(express.json());\n        \n        app.post('/login', (req, res) => {\n          const { username, password } = req.body;\n        \n          if (loginAttempts[username] && loginAttempts[username].count >= MAX_LOGIN_ATTEMPTS) {\n            return res.status(429).send('Too many login attempts. Try again later.');\n          }\n        \n          const isAuthenticated = authenticateUser(username, password);\n        \n          if (isAuthenticated) {\n            // Successful login\n            resetLoginAttempts(username);\n            res.send('Login successful');\n          } else {\n            incrementLoginAttempts(username);\n            res.status(401).send('Invalid credentials');\n          }\n        });\n        \n        function resetLoginAttempts(username) {\n          loginAttempts[username] = { count: 0, lastAttempt: Date.now() };\n        }\n        \n        function incrementLoginAttempts(username) {\n          if (!loginAttempts[username]) {\n            loginAttempts[username] = { count: 1, lastAttempt: Date.now() };\n          } else {\n            loginAttempts[username].count++;\n            loginAttempts[username].lastAttempt = Date.now();\n          }\n        }\n        \n        // Periodically reset login attempts to prevent unlimited growth\n        setInterval(() => {\n          Object.keys(loginAttempts).forEach((username) => {\n            if (Date.now() - loginAttempts[username].lastAttempt > COOLING_OFF_PERIOD) {\n              resetLoginAttempts(username);\n            }\n          });\n        }, 60000); // Check every minute\n        \n        // Simulated authentication function (replace with your actual authentication logic)\n        function authenticateUser(username, password) {\n          // Simulated authentication - always return true for this example\n          return true;\n        }\n        ",0
"const MAX_LOGIN_ATTEMPTS = 5;\n        const loginAttempts = {};\n        \n        app.post('/login', (req, res) => {\n          const { username, password } = req.body;\n        \n          if (loginAttempts[username] >= MAX_LOGIN_ATTEMPTS) {\n            return res.status(429).send('Too many login attempts. Try again later.');\n          }\n        \n          const isAuthenticated = authenticateUser(username, password);\n        \n          if (isAuthenticated) {\n            // Successful login\n            // ...\n            loginAttempts[username] = 0; // Reset login attempts\n            res.send('Login successful');\n          } else {\n            loginAttempts[username]++; // Increment login attempts\n            res.status(401).send('Invalid credentials');\n          }\n        });",1
"const express = require('express');\n        const rateLimit = require('express-rate-limit');\n        \n        const app = express();",0
"function add(a, b) { return a + b; }",0
"app.get('/search', (req, res) => {\n          const searchQuery = req.query.query;\n          const sqlQuery = ""SELECT * FROM products WHERE name LIKE %{searchQuery}"";\n          db.query(sqlQuery, (err, result) => {\n            if (err) {\n              res.status(500).send('Error executing the query');\n            } else {\n              res.json(result);\n            }\n          });\n        });\n        ",1
"app.get('/search', (req, res) => {\n          const searchTerm = req.query.term;\n          res.send('<p>You searched for: ' + searchTerm + '</p>');\n        });\n        ",1
"app.get('/user/:id', (req, res) => {\n          const userId = req.params.id;\n          const user = db.users[userId]; // Assuming db.users is an array\n          res.json(user);\n        });\n        ",1
"app.get('/ping', (req, res) => {\n          const host = req.query.host;\n          const pingResult = executeCommand('ping ' + host); // executeCommand function executes the OS command\n          res.send('Ping Result: ' + pingResult);\n        });\n        ",1
"app.post('/login', (req, res) => {\n          const { username, password } = req.body;\n          if (username === 'admin' && password === 'admin123') {\n            res.send('Login successful! Welcome, admin.');\n          } else {\n            res.send('Invalid credentials.');\n          }\n        });\n        ",1
"app.post('/upload', upload.single('file'), (req, res) => {\n          const filePath = '/uploads/' + req.file.filename;\n          res.send('File uploaded successfully to: ' + filePath);\n        });\n        ",1
"const speakeasy = require('speakeasy');\n        app.post('/verify-2fa', (req, res) => {\n          const { username, token } = req.body;\n          // Fetch 'secret' for the user from the database.\n          const isValid = speakeasy.totp.verify({ secret: 'user_secret', encoding: 'base32', token });\n          if (isValid) {\n            // Successful 2FA verification.\n            res.send('2FA verification successful!');\n          } else {\n            res.status(401).send('Invalid 2FA token.');\n          }\n        });\n        ",0
"const rateLimit = require('express-rate-limit');\n        const limiter = rateLimit({\n          windowMs: 15 * 60 * 1000, // 15 minutes\n          max: 100, // Limit each IP to 100 requests per windowMs\n        });\n        app.use('/api/', limiter);\n        ",0
" const loginLimiter = rateLimit({\n            windowMs: 10000, // 10 seconds\n            max: 1000, // Limit each IP to 1000 requests per 10 seconds (very permissive)\n            message: 'Too many requests from this IP, please try again later.'\n          });",1
"const loginLimiter = rateLimit({\n            windowMs: 60 * 60 * 1000, // 1 hour\n            max: 5, // Limit each IP to 5 requests per hour\n            message: 'Too many login attempts from this IP, please try again later.'\n          });",0
"const loginLimiter = rateLimit({\n            windowMs: 60 * 60 * 1000, // 1 hour\n            max: 5, // Limit each IP to 5 requests per hour\n            message: 'Too many login attempts from this IP, please try again later.'\n          });",1
"const multer = require('multer');\n        const storage = multer.diskStorage({\n          destination: function (req, file, cb) {\n            // Define the destination folder securely.\n            cb(null, '/secure_upload_path');\n          },\n          filename: function (req, file, cb) {\n            // Generate a unique filename securely.\n            cb(null, generateUniqueFileName(file.originalname));\n          }\n        });\n        const upload = multer({ storage });\n        app.post('/upload', upload.single('file'), (req, res) => {\n          res.send('File uploaded successfully.');\n        });\n        ",0
"const helmet = require('helmet');\n        app.use(helmet());\n        ",0
"const helmet = require('helmet');\n        app.use(helmet.contentSecurityPolicy({\n          directives: {\n            defaultSrc: [""'self'""],\n            scriptSrc: [""'self'""],\n            styleSrc: [""'self'""],\n            imgSrc: [""'self'""],\n            objectSrc: [""'none'""]\n          }\n        }));\n        ",0
"const csrf = require('csurf');\n        app.use(csrf({ cookie: true }));\n        ",0
"app.get('/logout', (req, res) => {\n            // Clear session or JWT token on the server-side.\n            res.send('Logout successful.');\n          });\n          ",0
